mid,transaction_id,company,sender_id,email_timestamp,year,month,day,product_mrp,product_price,product_discount,product_quantity,product_total,product_shipping_fee,product_shipping_discount,order_subtotal,order_convenience_fee,order_delivery_fee,order_gift_wrapping_fee,order_cod_fee,product_pickup_fee,order_donation,order_discount,order_promotion_discount,order_exchange_discount,order_cashback,paid_with_wallet_balance,order_amount_paid,points_earned,premium_membership,premium_membership_type,order_payment_type,order_payment_currency,product_brand,product_name,product_category,product_subcategory_1,product_subcategory_2,seller_name,ott_purchase,ott_subscription_name,ott_subscription_amount,dth_purchase,dth_subscription_name,dth_subscription_amount,broadband_purchase,broadband_subscription_name,broadband_subscription_amount,delivery_address_postal_code,delivery_address_city,delivery_address_state,user_id,user_gender,user_age,user_dob,user_address_postal_code,user_address_city,user_address_state,user_address_country,user_device_brand,user_device_model,user_os_type,user_onboard_at,user_inactive_at
Copy of swiggy_118,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,515.00,,,,,,,,,,,,,,,,,,,,,,,,,Happilo Premium Unsalted Pistachio Kernels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_118,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,Freebie Kitchen clips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_119,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,208.00,,,,,,,,,,,,,,,,,,,,,,,,,Amul Caramel Chocolate Gold Ice Cream Sundae Tub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_119,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,Kwality Wall's Shameless Vanilla Frozen Dessert Tub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_120,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,27.00,,,,,,,,,,,,,,,,,,,,,,,,,Nandini Shubam Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_120,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,76.78,,,,,,,,,,,,,,,,,,,,,,,,,B Natural Select Tender Coconut Water Bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_121,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,115.20,,,,,,,,,,,,,,,,,,,,,,,,,B Natural Select Tender Coconut Water Bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_122,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,46.00,,,,,,,,,,,,,,,,,,,,,,,,,Lemon (Nimmakayalu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_122,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,59.00,,,,,,,,,,,,,,,,,,,,,,,,,Supreme Harvest Rice Flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_122,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,64.00,,,,,,,,,,,,,,,,,,,,,,,,,Onion (Ulligadda),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_122,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,51.00,,,,,,,,,,,,,,,,,,,,,,,,,Ching's Secret Manchow Soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_123,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,210.00,,,,,,,,,,,,,,,,,,,,,,,,,Monster Energy Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_124,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,39.60,,,,,,,,,,,,,,,,,,,,,,,,,Cadbury Dairy Milk Chocolate Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_124,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,170.00,,,,,,,,,,,,,,,,,,,,,,,,,Gold Flake Mixpod Ftk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order_ID_6438474982,,Zomato,,2024-12-17T12:48:00,2024,12,17,,279,,1,279,,,398.00,8,45,,,,,,,,,,,,,,,,,7 Layer Burrito Roll - Veg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order_ID_6438474982,,Zomato,,2024-12-17T12:48:00,2024,12,17,,119,,1,119,,,398.00,8,45,,,,,,,,,,,,,,,,,Crunchy Wheat Taco Pinto Bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order_ID_6649270792,,Zomato,,2025-02-27T23:34:00,2025,2,27,,139,,4,556,,,1129.00,8,,,,,,,,,,,,,,,,,,"Paneer, Onion & Capsicum with Desi Makhani Sauce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order_ID_6649270792,,Zomato,,2025-02-27T23:34:00,2025,2,27,,189,,2,378,,,1129.00,8,,,,,,,,,,,,,,,,,,Paneer Tikka Stuffed Garlic Bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order_ID_6649270792,,Zomato,,2025-02-27T23:34:00,2025,2,27,,195,,1,195,,,1129.00,8,,,,,,,,,,,,,,,,,,Veg Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order_ID_6704164469,,Zomato,,2025-03-19T20:11:00,2025,3,19,,189,,1,189,,,506.00,8,,,,,,,,,,,,,,,,,,Fiery Corn & Jalapeno Garlic Bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order_ID_6704164469,,Zomato,,2025-03-19T20:11:00,2025,3,19,,49,,1,49,,,506.00,8,,,,,,,,,,,,,,,,,,Veg Parcel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order_ID_6704164469,,Zomato,,2025-03-19T20:11:00,2025,3,19,,79,,1,79,,,506.00,8,,,,,,,,,,,,,,,,,,Golden Corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order_ID_6704164469,,Zomato,,2025-03-19T20:11:00,2025,3,19,,189,,1,189,,,506.00,8,,,,,,,,,,,,,,,,,,Korean Pepperoni Garlic Bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order_ID_6711077707,,Zomato,,2025-03-21T21:58:00,2025,3,21,,189,,1,189,,,238.00,8,,,,,,,,,,,,,,,,,,Fiery Corn & Jalapeno Garlic Bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order_ID_6711077707,,Zomato,,2025-03-21T21:58:00,2025,3,21,,49,,1,49,,,238.00,8,,,,,,,,,,,,,,,,,,Veg Parcel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order_ID_6715636414,,Zomato,,2025-03-22T20:25:00,2025,3,22,,119,,1,119,,,119.00,8,58,,,,,,,,,,,,,,,,,New McSaver Pizza McPuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
